English_United_States_Def,English_United_States,French_Def,French
"A Bitcoin address is similar to a physical address or an email. It is the only information you need to provide for someone to pay you with Bitcoin. An important difference, however, is that each address should only be used for a single transaction.",Address,"Une adresse Bitcoin est similaire à une adresse physique ou une adresse courriel. Il s'agit de la seule information que vous avez besoin de fournir pour que quelqu'un vous paie avec Bitcoin. Une différence importante toutefois, est que chaque adresse Bitcoin ne devrait être utilisée que pour une seule transaction.",Adresse
"Bit is a common unit used to designate a sub-unit of a bitcoin - 1,000,000 bits is equal to 1 bitcoin (BTC). This unit is usually more convenient for pricing tips, goods and services.",Bit,"Bit est une unité courante utilisée pour désigner une sous-unité d'un bitcoin - 1 000 000 bits est égal à 1 bitcoin (BTC or ₿). Cette unité est souvent plus pratique pour fixer les prix des pourboires, des biens et des services.",Bit
"Bitcoin - with capitalization, is used when describing the concept of Bitcoin, or the entire network itself. e.g. ""I was learning about the Bitcoin protocol today.""",Bitcoin,"Bitcoin - avec une majuscule, est utilisé pour décrire le concept du Bitcoin ou le réseau lui-même. Ex. ""Je me suis intéressé au protocole Bitcoin aujourd'hui""",Bitcoin
"bitcoin - without capitalization, is used to describe bitcoins as a unit of account. e.g. ""I sent ten bitcoins today.""; it is also often abbreviated BTC or XBT.",bitcoin,"bitcoin - sans majuscule, est utilisé pour désigner les bitcoins en tant qu'unité de compte. Ex. ""J'ai envoyé dix bitcoins aujourd'hui"". On le retrouve souvent sous sa forme abrégée BTC ou XBT.",bitcoin
The block chain is a public record of Bitcoin transactions in chronological order. The block chain is shared between all Bitcoin users. It is used to verify the permanence of Bitcoin transactions and to prevent double spending.,Blockchain,La chaine de blocs est un journal public de toutes les transactions Bitcoin par ordre chronologique. Elle est partagée entre tous les utilisateurs du réseau Bitcoin. Elle est utilisée pour vérifier la permanence des transactions Bitcoin et empêcher la double dépense.,Chaine de blocs
"A block is a record in the block chain that contains and confirms many waiting transactions. Roughly every 10 minutes, on average, a new block including transactions is appended to the block chain through mining.",Block,"Un bloc est un enregistrement dans la chaine de blocs qui contient et confirme plusieurs transactions en attente. Toutes les 10 minutes, en moyenne, un nouveau bloc contenant des transactions est ajouté à la chaine de blocs par le minage.",Bloc
BTC is a common unit used to designate one bitcoin.,BTC,BTC est une unité courante pour désigner un bitcoin (₿).,BTC
"Confirmation means that a transaction has been processed by the network and is highly unlikely to be reversed. Transactions receive a confirmation when they are included in a block and for each subsequent block. Even a single confirmation can be considered secure for low value transactions, although for larger amounts like $1000 USD, it makes sense to wait for 6 confirmations or more. Each confirmation exponentially decreases the risk of a reversed transaction.",Confirmation,"Une confirmation signifie qu'une transaction a été traitée par le réseau et que ses chances d'être renversée sont quasiment inexistantes. Les transactions reçoivent une confirmation lorsqu'elles sont incluses dans un bloc et pour chaque bloc subséquent. Même une seule confirmation peut offrir une sécurité suffisante pour de petites transactions, alors que pour de plus grandes sommes telles que 1 000 $, il est prudent d'attendre 6 confirmations ou plus. Chaque confirmation diminue exponentiellement le risque d'un renversement de transaction.",Confirmation
"Cryptography is the branch of mathematics that lets us create mathematical proofs that provide high levels of security. Online commerce and banking already uses cryptography. In the case of Bitcoin, cryptography is used to make it impossible for anybody to spend funds from another user's wallet or to corrupt the block chain. It can also be used to encrypt a wallet, so that it cannot be used without a password.",Cryptography,"La cryptographie est une branche des mathématiques qui permet de créer des preuves mathématiques qui offrent un haut niveau de sécurité. Les commerces et banques en ligne utilisent déjà la cryptographie. Avec Bitcoin, la cryptographie est utilisée pour empêcher quiconque de dépenser les fonds provenant du portefeuille d'un autre utilisateur et pour empêcher la corruption de la chaine de blocs. Elle peut aussi être utilisée pour chiffrer un portefeuille afin qu'il ne puisse être utilisé qu'avec un mot de passe.",Cryptographie
"If a malicious user tries to spend their bitcoins to two different recipients at the same time, this is double spending. Bitcoin mining and the block chain are there to create a consensus on the network about which of the two transactions will confirm and be considered valid.",Double Spend,"Si un utilisateur mal intentionné essaie de dépenser ses bitcoins auprès de deux destinataires différents au même moment, il s'agit d'une double dépense. Le minage et la chaine de blocs existent pour créer un consensus dans le réseau afin de décider laquelle des deux transactions sera confirmée et considérée valide.",Double dépense
"The hash rate is the measuring unit of the processing power of the Bitcoin network. The Bitcoin network must make intensive mathematical operations for security purposes. When the network reached a hash rate of 10 Th/s, it meant it could make 10 trillion calculations per second.",Hash Rate,"Le taux de hachage est l'unité de mesure de la puissance de traitement du réseau Bitcoin. Le réseau Bitcoin doit faire des calculs mathématiques intensifs pour des raisons de sécurité. Quand le réseau a atteint un taux de hachage de 10 Th/s, ceci signifiait que le réseau pouvait faire 10 billions de calculs par secondes.",Taux de hachage
"Bitcoin mining is the process of making computer hardware do mathematical calculations for the Bitcoin network to confirm transactions and increase security. As a reward for their services, Bitcoin miners can collect transaction fees for the transactions they confirm, along with newly created bitcoins. Mining is a specialized and competitive market where the rewards are divided up according to how much calculation is done. Not all Bitcoin users do Bitcoin mining, and it is not an easy way to make money.",Mining,"Le minage de bitcoins est l'utilisation de matériel informatique pour effectuer des calculs mathématiques pour le réseau Bitcoin afin de confirmer des transactions et d'augmenter la sécurité. Comme récompense pour leurs services, les mineurs de bitcoins peuvent recevoir les frais de transaction pour les transactions qu'ils confirment et pour les bitcoins nouvellement créés. Le minage est un marché spécialisé compétitif où les récompenses sont divisées en fonction du nombre de calculs effectués. Tous les utilisateurs de Bitcoin ne font pas de minage et il ne s'agit pas d'une manière facile pour faire de l'argent.",Minage
"Peer-to-peer refers to systems that work like an organized collective by allowing each individual to interact directly with the others. In the case of Bitcoin, the network is built in such a way that each user is broadcasting the transactions of other users. And, crucially, no bank is required as a third party.",P2P,"Pair à pair fait référence à des systèmes qui fonctionnent comme une collectivité organisée en permettant à chaque individu d'interagir directement avec les autres. Dans le cas de Bitcoin, le réseau est construit de manière à ce que chaque utilisateur diffuse les transactions des autres utilisateurs. Et, chose cruciale, aucune banque n'est requise en tant que tierce partie.",P2P
A private key is a secret piece of data that proves your right to spend bitcoins from a specific wallet through a cryptographic signature. Your private key(s) are stored in your computer if you use a software wallet; they are stored on some remote servers if you use a web wallet. Private keys must never be revealed as they allow you to spend bitcoins for their respective Bitcoin wallet.,Private Key,"Une clé privée est une information secrète qui prouve votre droit de dépenser des bitcoins à partir d'un portefeuille défini grâce à une signature cryptographique. Vos clés privées sont stockées dans votre ordinateur si vous utilisez un portefeuille logiciel, tandis qu'elles sont stockées sur quelques serveurs en ligne si vous utilisez un portefeuille Web. Les clés privées ne doivent jamais être révélées car elles permettent de dépenser les bitcoins de leur portefeuille respectif.",Clé privée
"A cryptographic signature is a mathematical mechanism that allows someone to prove ownership. In the case of Bitcoin, a Bitcoin wallet and its private key(s) are linked by some mathematical magic. When your Bitcoin software signs a transaction with the appropriate private key, the whole network can see that the signature matches the bitcoins being spent. However, there is no way for the world to guess your private key to steal your hard-earned bitcoins.",Signature,"Une signature cryptographique est un mécanisme mathématique qui permet à quelqu'un de prouver sa propriété. Dans le cas de Bitcoin, un portefeuille Bitcoin et ses clés privées sont liés par la magie des mathématiques. Quand votre logiciel Bitcoin signe une transaction avec la clé privée appropriée, le réseau entier peut voir que la signature correspond aux bitcoins dépensés. Cependant, il n'existe aucun moyen de deviner votre clé privée afin de voler vos bitcoins durement gagnés.",Signature
"A Bitcoin wallet is loosely the equivalent of a physical wallet on the Bitcoin network. The wallet actually contains your private key(s) which allow you to spend the bitcoins allocated to it in the block chain. Each Bitcoin wallet can show you the total balance of all bitcoins it controls and lets you pay a specific amount to a specific person, just like a real wallet. This is different to credit cards where you are charged by the merchant.",Wallet,"Un portefeuille Bitcoin est vaguement l'équivalent d'un portefeuille physique sur le réseau Bitcoin. Un portefeuille contient en fait vos clés privées qui vous permettent de dépenser les bitcoins qui leurs sont associées dans la chaine de blocs. Chaque portefeuille Bitcoin peut afficher le solde de tous les bitcoins qu'il contrôle et vous permet de payer un montant spécifique à une personne spécifique, de la même façon qu'un vrai portefeuille. Ce qui est différent des cartes de crédit où le commerçant vous facture directement.",Portefeuille
