English (United States),Albanian,Dutch,Swedish
lack of coincidence of wants,,gebrek aan samenkomst van wensen,
debase,zhvlerësim,devalueren,försämra
immutability,,onveranderlijkheid,
public key,çelësi publik,publieke sleutel,publik nyckel
scaling capacity,,schaalcapaciteit,
coincidence of wants,rastësisë së dëshirave,,
natural resources,burimet natyrore,natuurlijke grondstoffen,
Austrian economics,Ekonomiksi Austriak,Oostenrijkse (economische) school,
backed by gold,mbështetur nga ari,gedekt door goud,uppbackad av en guldreserv
balance of payments crisis,kriza e bilancit të pagesave,valutacrisis,
Bitcoin miners,prodhuesit e Bitcoin,Bitcoinminers,
fee,tarifa,,
subsidy,subvencionim,,
clearing,kleringu,verrekening,
commodities,mallra,koopwaar,
consumable commodity,mallra konsumi,consumptiegoederen,
creation of Bitcoin,krijimi i Bitcoin,,
custodial service,shërbim kujdestarie,bewaardienst,
cypherpunk movement,lëvizja cypherpunk,,
debasement,zhvlerësimi,,
easy money,paraja e lehtë,gemakkelijk geld politiek,
excludable goods,mallra të përjashtueshëm,uitsluitbare goederen,
finale settlement,shlyerja përfundimtare,definitieve verrekening,
gratification,kënaqësi,voldoening,
hoodie-clad hoodlums,rrugeçër me kapuçë,,
human time,koha njerëzore,onze tijd,
liquidity pool,grumbull likuiditeti,plek met beschikbare liquiditeit,
loanable funds,fonde të huazueshme,,
lowering time preference,ulja e preferencës kohore,tijdsvoorkeur verlagen,
marginal utility,dobia marxhinale,marginaal nut,
netting and settling payments,zerimi dhe shlyerja e pagesave,,
notes,shënime,waardepapier,
opportunity costs,kosto oportune,alternatieve kosten,
processing power,fuqi përpunuese,rekenkracht,
proven reserves,rezerva të provuara,aantoonbare voorraden,
rival goods,mallra rivalë,concurerende goederen,
routing fee,tarifë kalimi,transactiekosten,
salability,tregtueshmëria,verkoopbaarheid,
saving technology,teknologji kursyese,technologie om te sparen,
scaling solutions,zgjidhje të përshkallëzimit në masë,schalingsoplossing,
sovereign base money,para themelore sovrane,soeverein basisgeld,
time preference,preferencë kohore,tijdsvoorkeur,
trustless transactions,transaksione pa nevojën e besimit,vertrouwenloze transacties,
unit of measure,njësi matëse,meeteenheid,
node-operator,operatori i nyjes,,
networkparticipants,pjesmarrësit e rrjetit,,
holders,zotëruesit,bezitters,innehavare
asset,aset,activa,tillgång
base money,paraja themelore,geldhoeveelheid,monetär bas
Bitcoin ledger,ditari i Bitcoin,Bitcoingrootboek,Bitcoins huvudbok
Bitcoin wallet,portofol Bitcoin-i,Bitcoinwallet,wallet
block reward,shpërblimi i bllokut,blok beloning,majningbelöning
block subsidy,subvencionimi i bllokut,bloksubsidie,majningersättning
blockchain,blockchain,blockchain,blockkedja
bubble,flluskë,bubbel,bubbla
censorship-resistance,rezistent ndaj censurës,censuurresistentie,censurresistens
cold storage,depo e ftohtë,coldstorage,cold storage
consensus rules,rregullat e konsensusit,consensusregels,konsensusregler
cyberspace,hapsira kibernetike,digitale wereld,cyberspace
demonetization,,,avmonetisering
digital cash,cash-i dixhital,digitaal contant,digitala kontanter
digital currency,valutë dixhitale,digitale valuta,digital valuta
double-spending problem,problemi i shpenzimit të dyfishtë,double-spending problem,problemet med dubbelspendering
easy money trap,kurthi i parasë së lehtë,valstrik van gemakkelijk geld,De mjuka pengarnas fälla
fork,priun,fork,fork
gold standard,standardi i arit,gouden standaard,guldstandard/guldmyntfot
hard money,paraja e fortë,krap geld politiek,hårda pengar
human history,historia njerëzore,geschiedenis van de mensheid,världshistorien
immutable,i/e pandryshueshëm,,oföränderlig
incentive,nxitje,drijfveer,incitament
individual sovereignty,sovraniteti individual,individuele soevereiniteit,egenmakt
ledger,ditari,grootboek,huvudbok
Lightning Network,Lightning Network,Lightning Netwerk,Lightning Network
market bubble,flluskë tregtare,zeepbel,marknadsbubbla
means of exchange,mjet këmbimi,ruilmiddel,utbytesmedel
mining,gërmim,mijnen,majning
monetary medium,mjet monetar,monetaire medium,monetärt medium
money supply,oferta e parasë,geldvoorraad,penningmängd
node,nyje,node,nod
run a node,drejtimi i një nyjeje,een node runnen,köra en nod
paper receipt,mandat,papieren tegoeden,papperskvitto
peer-to-peer network,rrjet dy palësh,peer-to-peer netwerk,peer-to-peer-nätverk
physical cash,cash-i fizik,fysiek geld,fysiska kontanter
private key,çelësi privat,privé sleutel,privat nyckel
raw materials,lëndë të para,grondstoffen,råvaror
salable,,verkoopbaar,säljbar
scalable,,,skalbara
scaling solution,,,lösning på hur skala upp
scaling problem,probleme të përshkallëzimit në masë,,skalningsproblem
settlement,shlyerje,verevening,avräkning
sound money,para e shëndetshme,solide geld,sunda pengar
soundness,shëndet,soliditeit,soliditet
stock‐to‐flow ratio,raporti stok mbi emetim,stock‐to‐flow ratio,lager/inflödes-kvot
store of value,rezervë valutore,oppotmiddel,värdebevarare
unit of account,njësi llogarie,rekeneenheid,beräkningsenhet
unsound money,paraja jo e shëndetshme,onsolide geld,mjukvaluta pengar
wallet addresses,adresat e portofolit,walletadressen,bitcoinadresser
wealth,,,rikedom
