term,pos,comment,cs,da,de,el,es,fr,he,hr,id,it,pt_BR,ru,sv,zh_CN
Bitcoin,Noun,,,,,,,bitcoin / Bitcoin,,,,,,Биткоин,,
Blockchain,Noun,,,,,,,chaîne de blocs,,,,,,Блокчейн,,
Byte,Noun,,,,,,,octet,,,,,,,,
Clipboard,Noun,,,,,,,presse-papier,,,,,,,,
Decrypt,Verb,,,,,,,Déchiffrer,,,,,,,,
Decryption,Noun,,,,,,,Déchiffrement,,,,,,,,
Email,Noun,,,,,,,courriel,,,,,,,,
Encrypt,Verb,,,,,,,Chiffrer,,,,,,,,
Encryption,Noun,,,,,,,Chiffrement,,,,,,,,
Escrow,Noun,,,,,,,entiercement,,,,,,,,
Home dir,Noun,,,,,,,répertoire personnel,,,,,,,,
Home directory,Noun,,,,,,,répertoire personnel,,,,,,,,
Import,Verb,,,,,,,importer,,,,,,Импорт,,
Multi-sig,Adjective,,,,,,,multisignature,,,,,,,,
Multi-sig,Noun,,,,,,,multisignature,,,,,,,,
Multi-signature,Adjective,,,,,,,multisignature,,,,,,,,
Offline,Adjective,,,,,,,hors-ligne,,,,,,,,
Record,Verb,,,,,,,enregistrer,,,,,,,,
Recorded,Adjective,,,,,,,enregistré,,,,,,,,
Rescan,Noun,,,,,,,réanalyse,,,,,,,,
Rescan,Verb,,,,,,,réanalyser,,,,,,,,
Reset,Verb,,,,,,,réinitialiser,,,,,,,,
Save,Verb,,,,,,,enregistrer,,,,,,,,
SecurePrint,,,,,,,,SecurePrint,,,,,,SecurePrint,,
SimulFund,,,,,,,,,,,,,,SimulFund,,
Simulfund,,,,,,,,,,,,,,Simulfund,,
Sweep,Verb,,,,,,,balayer,,,,,,,,
Transaction history,Noun,,Historie transakcí,,,,,historique des transactions,,,,,,,,
Wallet,Noun,,Peněženka,,,,,porte-monnaie,,,,,,Кошелек,,
Wallets,Noun,,Peněženky,,,,,porte-monnaie,,,,,,Кошельки,,
Watch-only,Noun,,Pouze sledování,,,,,lecture-seule,,,,,,,,
Watching-Only Wallet,Noun,,Peněženka pouze pro sledování,,,,,porte-monnaie juste-regarder,,,,,,,,
Watching-only,,,,,,,,juste-regarder,,,,,,,,
address book,Noun,,,,,,,carnet d’adresses,,,,,,,,
encrypted,Adjective,,,,,,,chiffré,,,,,,,,
